id_medico,id_clinica,id_consultorio,nombre,apellido,especialidad,telefono,correo
1,1,1,Camilo,Ramírez,Dermatología general,3001234567,camilo.ramirez@dermasalud.com
2,1,2,Valentina,López,Dermatología estética,3012345678,valentina.lopez@dermasalud.com
3,1,3,Andrés,Gómez,Procedimientos menores,3021234567,andres.gomez@dermasalud.com
4,1,4,Mariana,Pérez,Consulta externa,3031234567,mariana.perez@dermasalud.com
5,1,5,Juan,Martínez,Dermatología pediátrica,3041234567,juan.martinez@dermasalud.com
6,2,6,Sofía,Hernández,Dermatología estética,3051234567,sofia.hernandez@pielsana.com
7,2,7,Felipe,Castaño,Estética avanzada,3061234567,felipe.castano@pielsana.com
8,2,8,Laura,Salazar,Láser dermatológico,3071234567,laura.salazar@pielsana.com
9,2,9,Carlos,Aristizábal,Consulta externa,3081234567,carlos.aristizabal@pielsana.com
10,2,10,Daniela,Vélez,Peeling y rejuvenecimiento,3091234567,daniela.velez@pielsana.com
11,2,11,Esteban,Torres,Tratamientos capilares,3101234567,esteban.torres@pielsana.com
12,3,12,Santiago,Moreno,Dermatología oncológica,3111234567,santiago.moreno@dermavida.com
13,3,13,Isabella,Ruiz,Procedimientos quirúrgicos,3121234567,isabella.ruiz@dermavida.com
14,3,14,Nicolás,Agudelo,Consulta especializada,3131234567,nicolas.agudelo@dermavida.com
15,3,15,Paula,Restrepo,Terapias complementarias,3141234567,paula.restrepo@dermavida.com
16,3,16,Manuel,Giraldo,Control postoperatorio,3151234567,manuel.giraldo@dermavida.com
17,1,17,Sara,Cárdenas,Cirugía dermatológica,3161234567,sara.cardenas@dermasalud.com
18,2,18,David,Betancur,Dermatología estética,3171234567,david.betancur@pielsana.com
19,3,19,Juliana,Ramírez,Oncología avanzada,3181234567,juliana.ramirez@dermavida.com
20,1,20,Martín,Molina,Investigación dermatológica,3191234567,martin.molina@dermasalud.com
21,1,1,Ana,Suárez,Dermatología general,3201234567,ana.suarez@dermasalud.com
22,1,2,Tomás,Mejía,Dermatología estética,3211234567,tomas.mejia@dermasalud.com
23,1,3,Carolina,García,Procedimientos menores,3221234567,carolina.garcia@dermasalud.com
24,1,4,Mateo,Herrera,Consulta externa,3231234567,mateo.herrera@dermasalud.com
25,1,5,Lucía,Jiménez,Dermatología pediátrica,3241234567,lucia.jimenez@dermasalud.com
26,2,6,Emilio,Vargas,Dermatología estética,3251234567,emilio.vargas@pielsana.com
27,2,7,Valeria,Quintero,Estética avanzada,3261234567,valeria.quintero@pielsana.com
28,2,8,Samuel,Londoño,Láser dermatológico,3271234567,samuel.londono@pielsana.com
29,2,9,Martina,Correa,Consulta externa,3281234567,martina.correa@pielsana.com
30,2,10,Simón,Ramírez,Peeling y rejuvenecimiento,3291234567,simon.ramirez@pielsana.com
31,2,11,Elena,Castillo,Tratamientos capilares,3301234567,elena.castillo@pielsana.com
32,3,12,Pedro,Franco,Dermatología oncológica,3311234567,pedro.franco@dermavida.com
33,3,13,Laura,Arango,Procedimientos quirúrgicos,3321234567,laura.arango@dermavida.com
34,3,14,Adriana,Rendón,Consulta especializada,3331234567,adriana.rendon@dermavida.com
35,3,15,Diego,Henao,Terapias complementarias,3341234567,diego.henao@dermavida.com
36,3,16,Mónica,Zapata,Control postoperatorio,3351234567,monica.zapata@dermavida.com
37,1,17,Sebastián,Bermúdez,Cirugía dermatológica,3361234567,sebastian.bermudez@dermasalud.com
38,2,18,Gabriela,Valencia,Dermatología estética,3371234567,gabriela.valencia@pielsana.com
39,3,19,Jorge,Castañeda,Oncología avanzada,3381234567,jorge.castaneda@dermavida.com
40,1,20,Catalina,Ríos,Investigación dermatológica,3391234567,catalina.rios@dermasalud.com
