id_paciente,nombre,apellido,documento,telefono,correo,fecha_nacimiento,ciudad
1,Cecilia,Ramírez,10000001,3000000001,cecilia.ramírez@mail.com,1996-09-30,Boyacá
2,Laura,Alfonso,10000002,3000000002,laura.alfonso@mail.com,1978-03-08,San Vicente del Caguán
3,Rocío,Molina,10000003,3000000003,rocío.molina@mail.com,1979-08-18,El Tablón de Gómez
4,Milena,León,10000004,3000000004,milena.león@mail.com,1991-10-04,Cáceres
5,Jesús,Álvarez,10000005,3000000005,jesús.álvarez@mail.com,1947-04-29,Roldanillo
6,Alejandra,Pérez,10000006,3000000006,alejandra.pérez@mail.com,1994-09-06,La Montañita
7,Laura,Gómez,10000007,3000000007,laura.gómez@mail.com,1966-07-12,El Carmen
8,Adolfo,Marín,10000008,3000000008,adolfo.marín@mail.com,1968-11-04,Lebrija
9,Lizeth,Álvarez,10000009,3000000009,lizeth.álvarez@mail.com,1974-01-21,Carolina
10,José,Ramírez,10000010,3000000010,josé.ramírez@mail.com,1960-06-06,San Juan del Cesar
11,Claudia,Murillo,10000011,3000000011,claudia.murillo@mail.com,1987-02-01,Chiquinquirá
12,Jairo,Hernández,10000012,3000000012,jairo.hernández@mail.com,1965-05-05,Rionegro
13,Antonio,Ortega,10000013,3000000013,antonio.ortega@mail.com,1963-06-10,Santa Marta
14,Miriam,Garzón,10000014,3000000014,miriam.garzón@mail.com,1975-09-23,La Playa
15,Rosalba,Hernández,10000015,3000000015,rosalba.hernández@mail.com,1967-02-13,Sabanalarga
16,Yesid,Sierra,10000016,3000000016,yesid.sierra@mail.com,1977-01-04,San Cristóbal
17,Ana,Ramírez,10000017,3000000017,ana.ramírez@mail.com,1969-01-06,Florencia
18,Carlos,Medina,10000018,3000000018,carlos.medina@mail.com,1954-12-06,Obando
19,Juan,Rodríguez,10000019,3000000019,juan.rodríguez@mail.com,1955-08-07,Piendamó - Tunía
20,Gustavo,Díaz,10000020,3000000020,gustavo.díaz@mail.com,1981-04-15,Tibasosa
21,Diego,López,10000021,3000000021,diego.lópez@mail.com,1960-12-15,Santo Tomás
22,Víctor,Flórez,10000022,3000000022,víctor.flórez@mail.com,1972-03-23,Caimito
